Facility Name,Has Anerobic Digester,Sources,Electric Service Utility,Average Price (Cents/kWh),latitude,longitude
San Bernardino Municipal Water Department Water Reclamation Plant,True,"https://www.sbmwd.org/176/Water-Reclamation
https://www.sbmwd.org/376/Fuel-Cell",Colton Electric Utility Department,24.86,34.044084906,-117.360432037
Planada Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/merced/r5-2016-0044.pdf
https://www.planadacsd.org/",Merced Irrigation District,18.95,37.291705053,-120.316712836
Water Quality Control Plant (WQCP),True,"https://www.ssf.net/departments/public-works/water-quality-control-plant
https://www.sanbruno.ca.gov/224/Water-Quality-Control-Plant",Pacific Gas & Electric Company,37.70,37.641607579,-122.399983197
Moorpark Water Reclamation Facility,False,https://publicworks.venturacounty.gov/wsd/sanitation/,"Southern California Edison, Metropolitan Water District of So. Cal",,34.278967121,-118.894090809
Sewer Authority Mid-Coastside (SAM) Wastewater Treatment Plant,False,"https://samcoastside.org/plant-operations
https://samcoastside.org/documents",Pacific Gas & Electric Company,37.70,37.472615917,-122.443652184
City of Crescent City Wastewater Treatment Facility,False,https://www.waterboards.ca.gov/northcoast/board_info/board_meetings/01_2017/pdf/ccity/160927_CityofCrescentCity_WWTF_Draft.pdf,PacifiCorp,19.26,41.747116201,-124.201739576
Dunsmuir Wastewater Treatment Plant,False,"https://ceqanet.lci.ca.gov/2018122012/3
https://static1.squarespace.com/static/54c9a764e4b0ee5502d31f04/t/5c06c0ec758d464fc08e4e27/1543946528495/Initial+Study+-+MND+-+Dunsmuir+WWTP+Improvements+-+with+Appendices+12-03-18.pdf",PacifiCorp,19.26,41.183574219,-122.284168648
City of Needles Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/2015/2015_0018city_of_needles_wdr.pdf
https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/1999/99_068.pdf",City of Needles,,34.829971,-114.595233401
American Canyon Water Reclamation Facility,False,"https://www.americancanyon.gov/Live/Utilities-Services/Water/Wastewater-Collection-Treatment
https://stories.opengov.com/americancanyonca/3b6a1366-d10f-4535-b1c7-18438d748212/published/X593zQjLr?currentPageId=6a4ee3966a228ec4b9c02c84",Pacific Gas & Electric Company,37.70,38.187904988,-122.278213243
Mid-Valley Water Reclamation Plant No. 4,Insufficient,"https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/resolutions/2023/2023_0013cvwd_wrp4_wdr.pdf
http://www.cvwd.org/642/Water-Reclamation-Plant-No-4-WRP-4-Non-P",Imperial Irrigation District,18.11,33.59192192,-116.121714784
City of Coachella Sanitation Division / Coachella Sanitary District Wastewater Treatment Facility,False,"https://www.coachella.org/departments/public-works-department/sanitation-division
https://www.cvwd.org/163/Wastewater-Treatment",Imperial Irrigation District,18.11,33.656634928,-116.144931793
City of Lodi White Slough Water Pollution Control Facility,True,https://www.lodi.gov/580/Waste-Water,Pacific Gas & Electric Company,37.70,38.088338047,-121.383624094
Scotts Valley Wastewater Treatment Facility,False,"https://www.scottsvalley.gov/159/Wastewater
https://www.scottsvalley.gov/175/Treatment-Process",Pacific Gas & Electric Company,37.70,37.041121934,-122.02716256
